dept_no,department_name,total_students
1,Department_1,1
10,Department_10,1
11,Department_11,1
12,Department_12,1
13,Department_13,1
14,Department_14,1
15,Department_15,1
16,Department_16,1
17,Department_17,1
18,Department_18,1
19,Department_19,1
2,Department_2,1
20,Department_20,1
21,Department_21,1
22,Department_22,1
23,Department_23,1
24,Department_24,1
25,Department_25,1
26,Department_26,1
27,Department_27,1
28,Department_28,1
29,Department_29,1
3,Department_3,1
30,Department_30,1
31,Department_31,1
32,Department_32,1
33,Department_33,1
34,Department_34,1
35,Department_35,1
36,Department_36,1
37,Department_37,1
38,Department_38,1
39,Department_39,1
4,Department_4,1
40,Department_40,1
41,Department_41,1
42,Department_42,1
43,Department_43,1
44,Department_44,1
45,Department_45,1
46,Department_46,1
47,Department_47,1
48,Department_48,1
49,Department_49,1
5,Department_5,1
50,Department_50,1
6,Department_6,1
7,Department_7,1
8,Department_8,1
9,Department_9,1
